id,type,text1,text2,text3,text4,notes,,,
terran_nova,SHIP,"The Nova class surveyor is one of the most common science vessels in Starfleet service, with several hundred units constructed since its introduction in the early 2370s. Efficient and well-equipped, the class was designed to perform in-depth surveys of star systems and planetary bodies, with a particular emphasis on M-class worlds and pre-colonization assessment.

The Nova class excels at short duration exploratory missions. Rather than ranging widely across multiple sectors, ships of this class are typically assigned to a single star system for extended periods, often remaining on station for months at a time to conduct comprehensive scientific analysis. Compared to larger explorer type vessels, which perform broad reconnaissance, the Nova specializes in detailed follow-up work—cataloging planetary environments, evaluating habitability, and conducting focused research programs.

A key improvement over the Oberth class it replaced is survivability. The Oberth was highly vulnerable and poorly suited to operations in increasingly dangerous regions of space, leading to significant losses to pirates, raiders, and anomalies. The Nova class does not share this weakness. Derived from a wartime design lineage, it carries modern defensive systems and is fully capable of protecting itself against light threats, allowing it to operate safely in regions where Oberth class vessels could not.

TACTICAL: The Nova class is not a frontline combat vessel, but it is far from defenseless. Fast, maneuverable, and well-armed for its size, it can and will fight when necessary. Nova class ships are particularly effective in support roles, where their speed and firepower allow them to harass larger opponents, cover flanks, or reinforce light task groups. Mixed formations of Saber and Nova class vessels can present a surprisingly dangerous threat to enemy forces, making the Nova a valuable contributor to fleet operations despite its scientific focus.",,,,,,,
terran_saber,SHIP,"Easy to build and easy to maintain, the Saber class is a simple, modern starship produced in large numbers for Starfleet service. Designed in response to the disaster at Wolf 359, the Saber entered service just in time for the Dominion War and quickly proved itself as a fast, agile, and reliable escort and patrol vessel. It serves primarily in the roles of scout and frigate, emphasizing maneuverability and survivability over raw firepower.

While not a dedicated science vessel, the Saber class retains limited scientific capability, as is typical for Federation starships. In practice, however, it is best understood as a tactical support platform. Saber class ships are most often deployed alongside larger vessels, screening capital ships, patrolling borders, and responding quickly to emerging threats. Though not a true warship, the Saber excels in defensive roles, where its compact profile and reinforced structure make it a difficult target.

The Saber’s hull integrates its primary and secondary structures into a single, unified spaceframe, a radical departure from older Starfleet designs. This simplified construction increases durability and reduces maintenance requirements, while also contributing to the ship’s excellent maneuverability. Heavy internal reinforcement allows the vessel to absorb damage more effectively than older light ships, and regenerative shielding further improves survivability.

As a smaller vessel, the Saber class is necessarily compact. Crew accommodations are functional but somewhat cramped, with shared quarters and limited recreational space. High automation allows the ship to operate with a relatively small crew, reducing logistical strain, but also limits its ability to remain on long-duration deployments. As a result, Saber class ships typically operate close to established bases and support infrastructure.

TACTICAL: The Saber class performs best when deployed in groups. Squadrons of three to five Sabers operating alongside a heavier combatant can be extremely effective, using speed and maneuverability to harass enemy vessels and exploit openings created by their larger allies. Strong forward facing weapons allow the Saber to strike decisively, then disengage before sustaining serious damage. While not intended for prolonged combat, the class is highly effective as a fleet escort, picket ship, and rapid-response platform.",,,,,,,
,,,,,,,,,
#Hull id - DESTROYERS,#type,#text1,,,,,,,
terran_defiant,SHIP,"The Defiant class escort was born out of necessity, developed in direct response to the Borg incursions of the 2360s and the catastrophic losses suffered at Wolf 359. Unlike any Starfleet vessel before it, the Defiant was designed from the ground up with combat as its primary function. Small, fast, and brutally powerful for its size, it represents a sharp departure from Starfleet’s traditional design philosophy.

Originally intended solely as a tactical platform, the Defiant proved its worth during the Dominion War, where it excelled as an escort, strike vessel, and defensive screen for larger ships and strategic installations. In the decades since, advances in automation and internal refits have expanded the class’s mission profile, allowing it to operate with a reduced crew while gaining limited independence from constant starbase support. Despite these improvements, the Defiant remains a fundamentally combat focused vessel.

Though compact, the Defiant carries a surprisingly capable sensor suite, optimized for threat detection, defensive operations, and intelligence gathering. Over time, upgrades have made these systems flexible enough to support basic scientific reconnaissance. While not suitable for extended deep space exploration, modern Defiant class ships can conduct initial surveys or reconnaissance missions in dangerous or contested regions where sending a larger vessel would be impractical.

Diplomatic capability aboard the Defiant is minimal but functional. Facilities are spartan, with limited guest accommodations and a small conference space, making it unsuitable for formal negotiations. However, its speed and firepower make it an excellent courier for high risk diplomatic transport, where protection matters more than comfort. In such cases, the ship’s no-nonsense presence can itself be a strategic asset.

Life aboard a Defiant class ship is utilitarian. Crew spaces are compact, amenities are limited, and automation replaces comfort wherever possible. In exchange, crews develop a strong sense of camaraderie and cohesion, forged by close quarters and demanding operations. The Defiant is not a ship for luxury or prestige, but for crews who value effectiveness, resilience, and purpose.

TACTICAL:The Defiant class is the most combat?oriented starship ever fielded by Starfleet. Armed with pulse phaser cannons, quantum torpedoes, regenerative shields, and ablative armor, it delivers disproportionate firepower for its size. Rather than engaging in prolonged fleet actions, Defiants excel as escorts, interceptors, and strike ships, operating alongside larger vessels or conducting hit?and?run attacks. While another power might label it a warship, Starfleet employs the Defiant strictly as an escort—designed to defend, deter, and survive against overwhelming threats.

",,,,,,,
terran_defiant_assault,SHIP,"The Defiant-class Assault Cruiser was born out of Imperial ambition, developed by the Terran Empire as an upgraded combat platform designed to crush resistance and project overwhelming force. Building upon the already formidable Defiant spaceframe, the Assault variant incorporates additional weapons arrays, enhanced power systems, and reinforced structural supports—transforming an already lethal vessel into a true instrument of annihilation.

Where the standard Defiant serves as a raider and strike ship, the Assault Cruiser is built for sustained offensive operations. Additional phaser emitters have been mounted along the dorsal and ventral hull, supplemented by expanded torpedo magazines and rapid-fire launchers. These upgrades allow the Assault variant to engage multiple targets simultaneously, break through defensive formations, and reduce enemy positions to debris in seconds. The Empire spares no expense when equipping vessels intended to enforce its will.

The Assault Cruiser retains the compact sensor suite of its predecessor, though priority is given to targeting systems and threat assessment over passive reconnaissance. Advanced fire-control computers coordinate the expanded weapons arrays, ensuring maximum destructive output even when engaging evasive or fortified targets. In contested space, the Assault variant sees what it needs to kill—and kills it efficiently.

Diplomatic functions aboard the Assault Cruiser are nonexistent. This is not a vessel of negotiation or subtlety. When the Empire dispatches a Defiant Assault Cruiser, the message is clear: submission or destruction. Its presence in a system is an ultimatum delivered in hull plating and phaser fire. Rebel worlds and alien powers alike have learned to fear the distinctive silhouette of the Assault variant, knowing that its arrival means the time for words has ended.

Life aboard the Assault Cruiser is brutal even by Imperial standards. The expanded weapons systems and power requirements leave little room for crew comfort, and discipline is enforced through fear and summary punishment. Officers who command Assault Cruisers are among the most ruthless in the fleet—promoted not for leadership, but for their willingness to commit whatever acts the Empire demands. Those who serve aboard these ships do so knowing they are weapons themselves, expendable tools of Imperial conquest.

TACTICAL: The Defiant-class Assault Cruiser is one of the most heavily armed destroyers in the Imperial fleet. Enhanced pulse phaser arrays provide devastating broadside coverage, while additional forward torpedo launchers deliver alpha strikes capable of crippling cruisers in a single pass. Reinforced hull plating and upgraded shield generators allow the Assault variant to absorb punishing return fire while closing to optimal engagement range. The Empire deploys these vessels as breakthrough ships, fleet killers, and planetary suppression platforms—designed not merely to win battles, but to annihilate opposition so completely that rebellion becomes unthinkable.",,,,,,,
terran_BOP,SHIP,"The Defiant-class Bird of Prey was born out of ambition, developed by the Terran Empire as a direct answer to the Klingon-Cardassian Alliance's dominance over the quadrant. Unlike the lumbering capital ships favored by Imperial doctrine, the Bird of Prey was designed from the ground up as a predator—small, fast, and brutally lethal. It represents the Empire's willingness to adapt, steal, and perfect any technology that serves conquest.

Designated a ""Bird of Prey"" in recognition of its aggressive role and cloaking capability, the Terran variant strips away the pretense of exploration entirely. This is a warship built for ambush, assassination, and terror. It proved its worth during the Terran Rebellion and the subsequent campaigns of reconquest, excelling as a raider, assassin vessel, and shock attack platform. In the decades since, the class has become synonymous with Imperial special operations and punitive strikes against rebellious systems.

The Bird of Prey carries a compact but effective sensor suite, optimized for target acquisition, pursuit, and intelligence gathering on enemy positions. Its cloaking device—reverse-engineered from captured Alliance vessels—allows it to strike without warning and vanish before retaliation. While not suited for prolonged reconnaissance, the class excels at penetrating hostile space, eliminating high-value targets, and returning before the enemy understands what has happened.

Diplomatic capability aboard the Bird of Prey is virtually nonexistent, and that is by design. The Terran Empire does not negotiate from positions of equality—it dictates terms from positions of strength. When a Bird of Prey arrives, it carries no ambassadors, only ultimatums. Its presence is a message: comply or be destroyed.

Life aboard a Bird of Prey is harsh and unforgiving. Crew spaces are cramped, discipline is absolute, and failure is punished severely. Officers compete ruthlessly for advancement, and mutiny is an ever-present danger. Yet those who survive and thrive develop a fierce pride in their ship and crew—forged not by camaraderie, but by shared conquest and the knowledge that they serve aboard one of the Empire's most feared weapons.

TACTICAL: The Defiant-class Bird of Prey is among the most lethal strike vessels in the Imperial fleet. Armed with enhanced pulse phaser cannons, photon torpedoes, cloaking device, and reinforced hull plating, it delivers overwhelming firepower from ambush. Rather than engaging in honorable combat, Birds of Prey strike from cloak, cripple their targets, and finish them before shields can be raised. The Empire employs them as hunters, raiders, and executioners—designed to kill, terrorize, and ensure that resistance to Imperial rule is met with swift and merciless annihilation.",,,,,,,
terran_miranda,SHIP,"There are probably a billion of these ships in service. Not literally—but the Miranda class is one of the most widely produced starship designs in Federation history. Over its long career, it served as a light cruiser, frigate, science ship, supply vessel, and eventually an auxiliary transport. The class was prized for its balance: capable in nearly every role without truly excelling in any one. For much of the 23rd and 24th centuries, the Miranda was the backbone of Starfleet.

Originally fielded as a front-line light cruiser, the Miranda served extensively during the Federation’s major conflicts. During the Federation-Cardassian War, it operated primarily as a frigate. In the Borg and Dominion conflicts, it once again filled that role—but by then, the class was showing its age. Though reliable and numerous, the Miranda suffered heavy losses against modern threats, its design no longer suited for high?intensity fleet combat.

For decades, Miranda class ships also served as front?line explorers, operating alongside vessels such as the Excelsior, Constitution, Ambassador, and Constellation classes. By the time the Ambassador class entered service, the Miranda was increasingly pushed into second-line survey and scientific missions. Even then, it remained useful, flexible, and familiar to Starfleet crews.

In the modern era, however, the Miranda has largely exited mainline Starfleet service. Most surviving hulls have been transferred to Starfleet Auxiliary, where they serve as transports, supply ships, surveyors, and hospital vessels. Many have been disarmed entirely, with their rollbar weapons assemblies removed. While some armed examples lingered briefly into the late 24th century, these are now rare, and their remaining service life is short.

Life aboard the Miranda was considered comfortable by the standards of its time. While lacking modern amenities such as holodecks, it offered generous crew spaces, recreation facilities, and a layout intended for multi-year deployments. By the late 24th century, these comforts felt dated rather than luxurious, and assignments aboard Miranda class ships—particularly in auxiliary service—are now considered something of a novelty rather than a privilege.

No Miranda class ships remain in mainline Starfleet service. Those still operating under Starfleet Auxiliary continue to perform valuable but unglamorous work, quietly carrying supplies, patients, and researchers across Federation space. Though the class has finally passed its prime, its legacy is unmatched. Few starship designs have served as long, in as many roles, or shaped as many Starfleet careers as the Miranda.

TACTICAL: Once, the Miranda was a dangerous ship—arguably more threatening than the Constitution class in certain engagements thanks to its torpedo coverage and maneuverability. In the modern era, however, it is badly outmatched by newer designs. Compared to ships like the Saber or Norway, a single Miranda is at a severe disadvantage. In numbers, they can still pose a problem, but that era has passed. Today, Miranda class ships are sometimes used to shore up secondary fleet elements, though even this role is rapidly being taken over by newer frigates. Compared to the Centaur class, the Miranda remains the stronger platform—but that is faint praise by 25th century standards.",,,,,,,
,,,,,,,,,
#Hull id - CRUISERS,#type,#text1,,,,,,,
terran_constellation,SHIP,"Counted as one of the rare four-nacelled ships designed by Starfleet, the Constellation class served with unsung distinction for nearly a century. Fielded in the 2280s as a modern counterpart to the Constitution class, its origins trace back to a 2272 brief calling for a vessel capable of long-duration exploration, diplomacy, and combat across the Federation’s expanding borders. The design was a radical departure from the era’s norms; while contemporary heavy cruisers relied on dual-hull configurations to manage large-scale Structural Integrity Fields (SIFs), advancements in SIF technology allowed the Constellation to be fielded within a single, more efficient hull. This consolidated space for equipment and experimental systems, most notably the unique quad-nacelle arrangement intended to grant a 15% boost in fuel efficiency and superior maneuverability across the warp flight envelope.

Despite its ambitious goals, the class’s early years were plagued by a fundamental power mismatch. The ambitious quad-nacelle design required far more energy than the initial warp cores could safely provide, leading to catastrophic system failures and forced core ejections. Rather than scrap the fleet, Starfleet implemented a ""stopgap"" measure: software limiters that throttled the engines. This compromise solved the safety issues but left the ships chronically underpowered for decades, forcing the 50 commissioned vessels to ""soldier on"" as generalist platforms. They eventually achieved redemption through a series of upgrades between 2300 and 2310, and a final comprehensive refit in the 2370s that finally provided the power the spaceframe had always craved. This longevity allowed for legendary moments like the USS Stargazer’s execution of the first ""Picard Maneuver"" under the command of a young Jean-Luc Picard.

TACTICAL: Historically, the Constellation was designed to outmatch any projected Romulan or Klingon threat, featuring a robust armament of eight dual-mounted phaser banks and four torpedo launchers. However, during its early service, these teeth were often blunted by the aforementioned power limiters, which forced captains to carefully balance shield output with weapon fire. In the modern era, the class has transitioned into a reliable low-intensity combatant. While it no longer stands on the frontlines of major galactic conflicts, its reliable sensor arrays and revised power grid make it an exceptional platform for border security and ""policing"" actions. It excels at neutralizing pirates and raiders, where its maneuverability and wide firing arcs allow it to dominate smaller, less sophisticated vessels that might underestimate the aging cruiser.",,,,,,,
terran_excelsior,SHIP,"The Excelsior-class heavy cruiser was one of the most important and enduring starship designs in Starfleet history. Originally introduced in the late 23rd century as “the Great Experiment,” the class went on to become the backbone of the Federation fleet for over a hundred years. Though long retired by the end of the 24th century, the Excelsior’s influence shaped nearly every major Starfleet cruiser design that followed.

At its peak, the Excelsior-class served as Starfleet’s primary explorer, diplomatic vessel, and ship-of-the-line. It was capable of long-duration missions, independent operations, and large-scale fleet actions. While its scientific facilities eventually lagged behind newer designs, the class compensated with sheer internal volume, allowing mission-specific laboratories, sensors, and cargo to be embarked as needed. In its later years, Excelsiors were commonly assigned follow-up surveys, transport missions, and patrol duties rather than frontier exploration.

Diplomacy was a major role throughout the class’s service life. Excelsior-class ships frequently transported ambassadors, admirals, and Federation officials, serving as flagships for senior officers well into the 2370s. Though less luxurious than later diplomatic cruisers, they were economical, recognizable, and symbolically powerful vessels for lower-tier negotiations and official visits.

The design itself refined the Constitution-class layout into a sleeker, faster, and more imposing form. Its long nacelles and extended secondary hull conveyed speed and authority, establishing a visual language that would later influence the Ambassador, Galaxy, and Sovereign classes. Despite being an older hull design, incremental upgrades kept many Excelsiors relevant through multiple generations of Starfleet technology.

TACTICAL: The Excelsior-class was never intended as a pure warship, but it proved to be a capable combat vessel when required. It mounted extensive phaser coverage and a heavy torpedo payload, supported by strong shielding for its era. In fleet actions, Excelsiors often served as line cruisers, escorts, or command platforms. By the Dominion War, many had received weapons and shield upgrades, allowing them to remain viable—though losses were heavy when facing more modern enemy designs.

Shipboard life aboard an Excelsior reflected its age. Interiors were more cramped than contemporary cruisers, and enlisted crew often lived in shared accommodations. Over time, automation reduced crew requirements and allowed limited comfort upgrades, including holodecks and improved medical facilities. These ships were frequently used for humanitarian missions, disaster relief, and transport operations rather than sustained combat deployments.

By the late 24th century, the Excelsior-class was no longer prestigious, but it remained deeply respected. Crews and captains often formed strong emotional attachments to their ships, and many officers spent large portions of their careers aboard them. With the introduction of newer cruiser designs and the Excelsior II program, the original Excelsior-class was finally retired—closing the chapter on one of Starfleet’s most iconic and influential vessels.",,,,,,,
terran_intrepid,SHIP,"The Intrepid-class is a fast, highly capable science vessel designed for long-duration independent exploration. Developed as a smaller, more efficient counterpart to the Galaxy-class, the Intrepid represented Starfleet’s attempt to concentrate advanced exploration capabilities into a compact platform with a much smaller crew. Its performance during the USS Voyager’s seven-year journey in the Delta Quadrant firmly established the class as one of Starfleet’s most successful exploration designs.

Intrepid-class ships are well suited for deep-space scientific missions, first contact operations, and extended surveys without regular Starfleet support. While smaller than true explorers, they are capable of conducting a wide range of scientific work, from planetary analysis to advanced astrometrics and anomaly research. Their laboratories are fewer in number than those aboard larger ships, but highly flexible and well-equipped, allowing them to adapt quickly to mission requirements.

The class was among the most technologically advanced of its era. It introduced several experimental systems that later became standard across Starfleet, including advanced warp propulsion, bio-neural computer systems, and emergency holographic medical support. These innovations allowed the Intrepid to operate efficiently with a smaller crew, though they also increased maintenance complexity and limited the scope of later structural refits.

One defining feature of the Intrepid is its exceptional speed. Designed with variable-geometry warp nacelles and an advanced warp drive, the class was the fastest Starfleet vessel at the time of its introduction. This made Intrepid-class ships ideal for frontier exploration, rapid-response scientific missions, and operating in regions where disengagement and evasion were preferable to confrontation.

Diplomacy is a secondary but important role for the class. Intrepid-class ships are frequently involved in first-contact situations and limited diplomatic engagements. Their relatively small size limits their ability to host large delegations, placing greater responsibility on the captain and senior staff to manage negotiations without extensive diplomatic support.

Crew life aboard an Intrepid-class ship is comfortable but close-knit. With fewer than two hundred personnel aboard, crews tend to form strong interpersonal bonds over long missions. Accommodations are compact but modern, with extensive use of holodecks to compensate for limited recreational space. These ships are considered desirable postings, and command of an Intrepid-class vessel is often viewed as a mark of distinction.By the early 25th century, the Intrepid-class remains in service but is no longer in production. While still effective, it is gradually being overshadowed by newer science vessels derived from its design. Even so, the Intrepid-class is remembered as one of Starfleet’s most influential and proven exploration platforms.

TACTICAL:Although not intended as combat vessels, Intrepid-class ships are well-armed for their size and possess excellent defensive coverage. Their phaser arrays provide near-complete firing arcs, and they carry both photon and quantum torpedoes. In combat situations, speed is their primary defense, allowing them to disengage from superior opponents. They are capable of holding their own in limited engagements but are not suited for sustained fleet combat.",,,,,,,
terran_akira,SHIP,"Upon first sight, the Akira-class is immediately distinctive, drawing clear inspiration from the NX?class lineage of Captain Archer’s era. Developed in the aftermath of the Borg attack at Wolf 359, the Akira is a heavy cruiser built first and foremost for defense. While it possesses exploratory capability, it was never intended to be a primary exploration platform and instead emphasizes combat readiness and fleet protection.

Often classified as an attack cruiser or torpedo cruiser, the Akira mounts an exceptional torpedo armament unmatched by any other Federation ship of its era. Its hull is designed around redundancy and coverage, allowing sustained torpedo fire from multiple vectors while maneuvering. In addition, the class features extensive hangar facilities capable of supporting fighters, shuttles, and runabouts, allowing it to operate as a light carrier or force-multiplier during fleet actions.

In non-combat roles, the Akira’s large hangars and magazines can be repurposed for exploration support. Fighters, scouts, and runabouts extend its survey reach, while torpedo launchers may be configured to deploy probes instead of weapons. Though not a true science vessel, the Akira can perform wide-area system surveys at a level comparable to, or exceeding, smaller survey ships such as the Nova when properly outfitted.

TACTICAL: The Akira-class is one of the most heavily armed cruisers Starfleet has ever fielded. It carries more torpedo launchers and ordnance than any contemporary Federation design, backed by solid Type?X phaser coverage. Despite its size, the ship is fast and highly maneuverable, making it effective both as a frontline combatant and as a carrier platform. Designed to counter raiders, capital ships, and massed threats, the Akira remains a cornerstone of Starfleet’s defensive doctrine.",,,,,,,
terran_nebula,SHIP,"At a glance, the Nebula class presents itself as a familiar yet unconventional Starfleet design—clearly descended from the Galaxy class, but compacted into a more utilitarian form. Conceived as a multi-mission cruiser rather than a pure explorer, the Nebula was built to shoulder a wide range of responsibilities across Federation space, combining strong scientific capability with credible defensive power.

Unlike vessels built for a single role, the standard Nebula configuration emphasizes balance. It carries a large science department, extensive lab space, and robust sensor coverage without committing fully to deep range exploration. This makes the class particularly well-suited to charting missions, system surveys, second contact assignments, and long-term scientific operations conducted near established supply lines. While it lacks the extreme endurance of the Galaxy, it compensates with flexibility and efficiency.

The defining feature of the Nebula class is its modular design philosophy. Even without a specialized pod installed, the ship retains substantial internal mission configurable volume, allowing captains to tailor their vessel to evolving operational needs. This adaptability has made the Nebula a favored choice for mixed scientific, diplomatic, and patrol assignments, especially during periods when Starfleet requires capable ships that can pivot roles quickly.

TACTICAL: In its standard configuration, the Nebula class is a solid and dependable combatant. Heavy shielding, large Type X phaser arrays, and forward and aft torpedo coverage allow it to hold its own against threats of comparable size. While it lacks the overall arc firepower of the Galaxy, Nebula captains are trained to leverage strong forward engagements and disciplined maneuvering. As a result, the class performs best as a fleet cruiser, command ship, or show of force platform rather than a dedicated brawler.",,,,,,,
,,,,,,,,,
#Hull id - CAPITAL SHIP,#type,#text1,,,,,,,
terran_ambassador,SHIP,"Upon first sight, the Ambassador class immediately conveys scale and authority. Designed to bridge the gap between the Excelsior and the later Galaxy class, it represents Starfleet’s first true attempt at a large, long range capital ship built as much for diplomacy and presence as for exploration and combat. In her era, the Ambassador was intended to redefine what an exploration vessel could be, both technologically and symbolically.

Originally fielded as Starfleet’s premier explorer, the Ambassador was designed to conduct extended missions well beyond Federation space without support. As newer and larger explorers entered service, the class gradually shifted inward, finding a long second life as a diplomatic, scientific, and multirole capital ship operating closer to Federation borders. This evolution eventually formalized her modern role as an emissary vessel—focused on diplomacy, humanitarian aid, and strategic engagement rather than frontier exploration.

The Ambassador class remains one of Starfleet’s most capable diplomatic platforms. Extensive guest accommodations, configurable environmental systems, and large conference facilities allow her to host complex, multi-party negotiations in comfort. Even decades after her launch, she remains a powerful symbol of the Federation’s reach, able to enter unstable or hostile regions without the need for an escort. In the modern era, many ships of this class have been refreshed internally, blending classic grandeur with updated communications and holographic systems.

While no longer considered a cutting edge explorer, the Ambassador retains strong scientific capabilities. Large sensor arrays, numerous laboratories, and substantial mission configurable internal volume allow her to support research, analysis, and humanitarian coordination alongside diplomatic duties. These ships often operate as mobile command platforms, coordinating relief efforts or scientific initiatives rather than conducting raw data collection themselves.

TACTICAL:The Ambassador class is a capable and resilient combatant. Heavy shielding, large Type?X phaser arrays, and forward and aft torpedo coverage allow her to engage cruiser?class threats effectively. Though slower and less agile than newer designs, she proved durable in mid?24th century conflicts and remains a credible deterrent. In modern service, her firepower is retained primarily for self?defense, allowing newer ships to focus on frontline combat roles.",,,,,,,
terran_galaxy,SHIP,"The Galaxy class represents the pinnacle of Starfleet’s 24th century design philosophy: a true exploration cruiser built on a capital?ship scale. Conceived as the successor to the Ambassador class, the Galaxy was intended to serve as a self?contained Federation presence, capable of operating for years beyond established borders while carrying the full weight of Starfleet’s scientific, diplomatic, and defensive authority.

Designed from the outset as a long duration explorer, the Galaxy class combines unprecedented internal volume with advanced propulsion, computing, and sensor systems. Its ability to sustain independent operations for extended periods—often without resupply—allows it to conduct wide?area surveys, multi-disciplinary research, and prolonged first contact missions that would overwhelm smaller vessels. Few ships in any known fleet can match the Galaxy’s raw survey throughput or mission endurance.

The class is equally notable for the scale of its scientific infrastructure. Rather than being optimized around a single specialty, Galaxy class ships support dozens of concurrent research projects across hundreds of laboratories, many of which evolve over the lifetime of the vessel. As a result, no two Galaxy class ships are truly identical; each develops a distinct research profile shaped by its crew, mission history, and accumulated expertise. In this respect, the Galaxy is as much a moving institution as it is a starship.

Diplomacy is a core function of the class. Extensive guest accommodations, configurable environmental systems, and large conference and recreational facilities allow the Galaxy to host complex negotiations in comfort and security. Its sheer presence carries diplomatic weight, signaling both respect and resolve. Galaxy class commands are typically reserved for senior captains trusted not only with a powerful ship, but with representing the Federation itself in volatile regions.

Structurally, the Galaxy follows the classic saucer and stardrive configuration, refined to an unprecedented degree. Its ability to separate and later recombine its primary and secondary hulls allows it to function as two independent vessels, enabling evacuation of non?combatants or multi?vector operations. This capability, combined with redundant systems in both sections, makes the Galaxy one of the most survivable designs Starfleet has ever fielded.

TACTICAL: Although not designed as a warship, the Galaxy class is a formidable capital combatant. Heavy shielding, full Type X phaser coverage, and high capacity torpedo systems allow it to engage cruiser and battleship class threats effectively. Its massive power generation supports sustained combat operations, and when operating in separated flight mode, a Galaxy class can force adversaries to contend with two coordinated heavy platforms. While later classes refined and specialized these capabilities, the Galaxy remains one of the most balanced and resilient ships ever placed into Starfleet service.",,,,,,,
