name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
(TERRAN) Constellation,terran_constellation,Cruiser,Terran Tech,picard_maneuver,50,11700,1700,13700,13700,130,140,3,100,25,40,15,15,3000,OMNI,,360,0.8,0.9,,,175,350,250,175,2,30,8,120450,8,75,700,0.3,18,5,,,,,,,,"no_autofit, terran_bp, terran",,,,0.7,5,10,,505
(TERRAN) Excelsior,terran_excelsior,Advanced Heavy Cruiser,Terran Tech,veteran_protocols,65,14700,2500,15000,15000,175,170,1,90,15,20,10,10,4500,OMNI,,360,0.8,1,,,300,500,400,300,2,40,8,132900,8,50,900,0.2,20,8,,,,,,,,"no_autofit, terran_bp, terran",,,,0.65,4,10,,505
(TERRAN) Intrepid,terran_intrepid,Light Cruiser,Terran Tech,tractorBeam,80,11750,4500,20000,25000,225,190,1,130,30,40,30,30,2800,OMNI,,360,0.4,0.7,,,75,300,325,75,0.25,30,15,180600,8,40,1000,0.1,25,6,,,,,,,,"no_autofit, terran_bp, terran",,,,0.5,3,8,,505
(TERRAN) Akira,terran_akira,Torpedo Cruiser,Terran Tech,polarized_hull,80,17000,6500,24200,30000,325,255,3,120,25,35,20,20,5300,OMNI,,360,0.45,0.8,,,200,500,500,70,0.8,30,12,272000,12,70,1300,0.1,40,8,,,,,,,,"no_autofit, terran_bp, terran",,,,0.6,4,10,,505
(TERRAN) Nebula [Weapons Pod],terran_nebula,Heavy Cruiser,Terran Tech,proximity_torpedo_launcher,100,21500,3500,26750,26750,150,310,2,105,15,25,18,18,6500,OMNI,,360,0.55,0.85,,,300,800,1000,275,1.5,50,9,250000,10,50,1200,0.2,45,10,,,,,,,,"no_autofit, terran_bp, terran",,,,0.5,2,10,,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CAPITAL SHIP NAME,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
(TERRAN) Ambassador,terran_ambassador,Advanced Heavy Cruiser,Terran Tech,command_authority,120,25000,4250,21050,20000,180,190,2,100,20,30,12,12,7000,OMNI,,360,0.6,0.9,,,350,750,575,225,1.5,60,10,315000,15,85,1500,0.25,40,15,,,,,,,,"no_autofit, terran_bp, terran",,,,0.5,2,10,,505
(TERRAN) Galaxy,terran_galaxy,Exploration Cruiser,Terran Tech,saucer_separation,150,35200,7500,35000,30000,200,300,3,110,25,50,15,15,10300,OMNI,,360,0.5,0.75,,,1000,2000,1250,700,2.25,80,12,525000,20,120,1750,0.15,50,20,,,,,,,,"no_autofit, terran_bp, terran",,,,0.5,2,10,,505
(TERRAN) Sovereign,terran_sovereign,Battlecruiser,Terran Tech,reflex_shields,175,30750,10000,45800,40000,375,375,3,125,35,50,20,20,9800,OMNI,,360,0.4,0.7,,,375,800,750,250,1,80,15,525000,25,150,2000,0.1,50,15,,,,,,,,"no_autofit, terran_bp, terran",,,,0.5,2,10,,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#STATION,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#VANILLA STYLE SECTION,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CAPITAL STYLE,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
