name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
(FED) Saber,fed_saber,Fast Frigate,Federation Tech,impulse_overload,35,7000,2700,13500,13500,110,110,1,130,30,40,30,30,1800,OMNI,,360,0.6,0.8,,,75,200,100,25,0.4,15,8,58900,10,20,425,0.1,10,3,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.4,2,4,,500
(FED) Freedom,fed_freedom,Scout Frigate,Federation Tech,reactor_ejection,25,10400,2000,15500,10000,90,110,,115,20,30,25,25,2000,OMNI,,360,0.65,0.9,,,80,250,120,40,1,10,6,48025,5,5,280,0.25,4,6,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.65,3,6,,888
(FED) Challenger,fed_challenger,Light Cruiser,Federation Tech,impulse_overload,25,11500,2000,17600,12000,120,130,,110,20,30,30,30,2700,OMNI,,360,0.6,0.9,,,140,300,200,50,1.3,15,8,55700,5,10,400,0.15,6,6,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.7,4,7,,888
(FED) Springfield,fed_springfield,Science Frigate,Federation Tech,impulse_overload,25,12000,2000,17600,12000,120,150,1,115,20,30,20,20,3700,OMNI,,360,0.55,0.9,,,200,400,340,70,1.5,15,9,64700,8,15,280,0.15,8,6,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.7,4,7,,888
(FED) New Orleans,fed_newOrleans,Surveyor Frigate,Federation Tech,surveyor_sensors,35,12250,2500,18500,18500,140,150,1,115,20,30,25,25,3700,OMNI,,360,0.55,0.9,,,270,400,340,110,1.5,25,9,68300,8,15,370,0.15,8,6,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.7,4,7,,889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DESTROYER SHIP NAME,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(FED) Defiant,fed_defiant,Escort,Federation Tech,impulse_diversion,45,4000,3500,13500,8000,125,175,,150,30,45,35,35,900,OMNI,,360,0.4,0.7,,,15,35,50,15,0.25,10,8,104840,10,40,1200,0.1,12,1,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.3,2,5,,505
(FED) Defiant,fed_defiantPras,Battle Frigate,Federation Tech,impulse_diversion,45,3500,8750,13500,8000,125,225,,150,30,45,35,35,975,OMNI,,360,0.4,0.7,,,2,5,50,15,0.15,10,8,104840,10,40,1200,0.1,12,1,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.3,2,5,,505
(FED) Miranda,fed_miranda,Light Cruiser,Federation Tech,field_repairs,35,8000,1700,13000,8000,100,100,2,110,20,30,18,18,2300,OMNI,,360,0.8,1,,,100,300,300,110,1.75,20,6,58000,12,35,700,0.25,10,5,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.8,4,12,,505
(FED) Norway,fed_norway,Escort Cruiser,Federation Tech,proximity_torpedo_launcher,50,8750,3500,17500,10600,130,150,2,125,30,45,25,25,2500,OMNI,,360,0.45,0.8,,,75,200,200,30,0.5,15,8,75200,18,35,570,0.1,15,3,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,3,7,,505
(FED) Steamrunner,fed_steamrunner,Heavy Frigate,Federation Tech,critical_photon,50,8750,3500,17500,18900,130,130,2,120,30,40,25,25,2300,OMNI,,360,0.45,0.8,,,75,275,200,45,0.45,20,8,70520,15,35,570,0.1,15,3,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.7,3,9,,505
(FED) Cheyenne,fed_cheyenne,Patrol Cruiser,Federation Tech,picard_maneuver,60,12750,2750,20000,18000,140,150,1,115,25,30,20,20,3550,OMNI,,360,0.55,0.9,,,200,375,250,75,0.85,25,10,100000,10,40,600,0.2,12,6,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.6,4,10,,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no_autofit, ufp_bp, ufp",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CRUISER SHIP NAME,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
(FED) Constellation,fed_constellation,Cruiser,Federation Tech,picard_maneuver,50,11700,1700,13700,13700,130,170,3,100,25,40,15,15,3000,OMNI,,360,0.8,0.9,,,175,350,250,175,2,30,8,120450,8,75,700,0.3,18,5,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.7,5,10,,505
(FED) Excelsior,fed_excelsior,Advanced Heavy Cruiser,Federation Tech,veteran_protocols,65,14700,2500,15000,15000,175,200,1,90,15,20,10,10,4500,OMNI,,360,0.8,1,,,300,500,580,300,2,40,8,132900,8,50,900,0.2,20,8,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.65,4,10,,505
(FED) Intrepid,fed_intrepid,Light Cruiser,Federation Tech,tractorBeam,80,11750,4500,20000,25000,225,200,1,130,30,40,30,30,2800,OMNI,,360,0.4,0.7,,,75,300,325,75,0.25,30,15,180600,8,40,1000,0.1,25,6,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,3,8,,505
(FED) Galaxy Saucer,fed_galaxy_saucer,Saucer,Federation Tech,highenergyfocus,65,16300,3000,35700,35700,160,175,1,120,15,30,18,18,6000,OMNI,,360,0.55,0.8,,,300,700,750,325,10,1,0,200750,10,50,700,0.15,30,10,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.8,4,8,,505
(FED) Galaxy Stardrive,fed_galaxy_stardrive,Stardrive,Federation Tech,highenergyfocus,100,16300,3250,30250,30250,180,200,2,100,15,30,15,15,4000,OMNI,,360,0.55,0.8,,,250,500,700,175,1.25,40,10,200750,12,70,1200,0.15,40,10,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,4,10,,505
(FED) Akira,fed_akira,Torpedo Cruiser,Federation Tech,polarized_hull,90,17000,5000,24200,30000,250,320,3,120,25,35,20,20,5300,OMNI,,360,0.45,0.8,,,200,500,500,70,0.8,30,12,272000,12,70,1300,0.1,40,8,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.6,4,10,,505
(FED) Nebula [NX],fed_nebula_NX,Heavy Cruiser,Federation Tech,self_destruct,80,19800,3500,26750,26750,150,245,2,105,15,25,18,18,6000,OMNI,,360,0.55,0.85,,,275,800,500,200,1.25,50,9,225750,10,50,1200,0.2,45,10,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,2,10,,505
(FED) Nebula [Weapons Pod],fed_nebula,Heavy Cruiser,Federation Tech,proximity_torpedo_launcher,100,21500,3500,26750,26750,150,275,2,105,15,25,18,18,6500,OMNI,,360,0.55,0.85,,,300,800,1000,500,1.5,50,9,250000,10,50,1200,0.2,45,10,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,2,10,,505
(FED) Nebula [Sensor Pod],fed_nebula_sensor,Heavy Cruiser,Federation Tech,sensorPod_system,75,21500,3500,26750,26750,150,275,2,105,15,25,18,18,6500,OMNI,,360,0.55,0.85,,,300,800,1000,225,1.5,50,9,250000,10,50,1200,0.2,45,10,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,2,10,,505
(FED) Nebula [Warp Pod],fed_nebula_warp,Heavy Cruiser,Federation Tech,gravity_well,70,20800,3500,26750,26750,150,275,2,105,15,25,18,18,6300,OMNI,,360,0.55,0.85,,,300,800,700,225,0.75,50,11,230500,10,50,1200,0.2,45,10,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,2,10,,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CAPITAL SHIP NAME,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
(FED) Ambassador,fed_ambassador,Heavy Cruiser,Federation Tech,command_authority,120,24000,4250,20250,20000,180,250,2,100,20,30,12,12,7000,OMNI,,360,0.6,0.9,,,350,750,500,225,1.5,60,10,300900,15,80,1500,0.25,40,20,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,2,10,,505
(FED) Ambassador [Refit],fed_ambassador_refit,Advanced Heavy Cruiser,Federation Tech,command_authority,120,25000,4250,21050,20000,180,250,2,100,20,30,12,12,7000,OMNI,,360,0.6,0.9,,,350,750,1500,225,1.5,60,10,315000,15,85,1500,0.25,40,1520,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,2,10,,505
(FED) Ambassador [Retrofit],fed_ambassador_retrofit,Support Cruiser,Federation Tech,command_authority,120,25000,4750,24000,20000,180,250,2,100,20,30,14,14,7000,OMNI,,360,0.6,0.85,,,350,750,700,225,1.5,60,10,325750,15,90,1500,0.25,40,15,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,2,10,,505
(FED) Galaxy,fed_galaxy,Exploration Cruiser,Federation Tech,saucer_separation,150,35200,7500,35000,30000,250,250,3,110,25,50,15,15,10300,OMNI,,360,0.5,0.75,,,1000,2000,1250,700,2.25,80,12,525000,20,120,1750,0.15,50,20,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,2,10,,505
(FED) Sovereign,fed_sovereign,Battlecruiser,Federation Tech,reflex_shields,175,30750,10000,45800,45800,375,330,3,125,35,50,20,20,9800,OMNI,,360,0.4,0.7,,,375,800,750,250,1,80,15,525000,25,150,2000,0.1,50,15,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,2,10,,505
(FED) Division One Sovereign,fed_divisionSovereign,Battlecruiser,Federation Tech,reflex_shields,175,26750,12150,42000,45800,375,420,3,135,35,50,20,20,9800,OMNI,,360,0.4,0.7,,,300,700,2250,250,1.05,80,15,525000,25,150,2000,0.1,50,15,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.5,2,10,,505
#Sovereign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valdore,rom_valdore,Battlecruiser,High Tech,romulan_cloak,75,26080,10000,45800,45800,330,300,3,120,80,70,30,30,9600,OMNI,,360,0.4,0.4,,,700,1500,3000,750,5,80,10,525000,5,50,1200,0.1,50,30,,,,,,,,,,,,0.5,2,10,,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#STATION,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
(FED) Defense Platform [PHASER],fed_phaserTurret,Defense Platform,Federation Tech,highenergyfocus,60,20750,7000,15000,15000,500,100,4,0,0,0,15,15,5000,OMNI,,360,0.7,0.8,,,10,10,0,0,0,0,0,90000,50,250,3200,0.1,50,1,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",ufp,,,,0.5,4,8,,505
(FED) Defense Platform [PULSE],fed_pulseTurret,Defense Platform,Federation Tech,interdictor,60,20750,7000,15000,15000,500,100,4,0,0,0,15,15,5000,OMNI,,360,0.7,0.8,,,10,10,0,0,0,0,0,90000,50,250,3200,0.1,50,1,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",ufp,,,,0.5,4,8,,505
(FED) Defense Platform [TORPEDO],fed_photonTurret,Defense Platform,Federation Tech,fragment_volley,60,20750,7000,15000,15000,500,100,4,0,0,0,15,15,5000,OMNI,,360,0.7,0.8,,,10,10,0,0,0,0,0,90000,50,250,3200,0.1,50,1,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",ufp,,,,0.5,4,8,,505
(FED) Regula Type,fed_regulaTypeStation,Station,Federation Tech,,100,26750,5750,20000,20000,300,200,2,0,0,0,0,0,11120,OMNI,,360,0.9,0.8,,,20,50,8500,0,0,0,0,125400,15,100,2500,0.3,40,8,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",ufp,,,,0.7,3,12,,505
(FED) Orbital Complex,fed_orbitalStationComplex,Station,Federation Tech,,100,30400,5750,20000,20000,300,200,2,0,0,0,0,0,12000,OMNI,,360,0.9,0.8,,,20,75,8500,0,0,0,0,130800,15,100,2500,0.3,40,8,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",ufp,,,,0.7,3,12,,505
(FED) Jupiter Type,fed_jupiterStation,Station,Federation Tech,,140,40500,6000,20000,20000,340,120,,0,0,0,0,0,15000,OMNI,,360,0.8,0.78,,,80,400,9000,0,0,0,0,340500,15,100,2500,0.3,40,10,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",ufp,,,,0.7,3,12,,505
(FED) Utopia Planitia,fed_utopiaPlanitia,Station,Federation Tech,,140,57250,7500,25000,25000,500,200,4,0,0,0,0,0,15500,OMNI,,360,0.7,0.7,,,150,1000,10000,0,0,0,0,5345750,25,90,5000,0.25,50,20,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",ufp,,,,0.5,5,10,,505
(FED) Starbase,fed_spaceDock,Station,Federation Tech,holographic_fleet,380,100000,12200,80000,55000,1500,400,4,0,0,0,0,0,40200,OMNI,,360,0.5,0.7,,,8000,25000,40000,0,0,0,0,12450000,250,250,10250,0.1,50,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",ufp,,,,0.1,4,16,,505
(FED) Pras Mansion,fed_prasStation,Mansion Station,Federation Tech,holographic_fleet,180,60250,9500,30000,15000,1000,540,4,0,0,0,0,0,30000,OMNI,,360,0.7,0.7,,,250,75000,75250,0,0,0,0,8780275400,10,250,5000,0.25,60,15,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX","no_autofit, ufp",,,,0.5,4,8,,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#VANILLA STYLE SECTION,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CAPITAL STYLE,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
Hellhound Onslaught,onslaught_hellhound,Oppression Battleship,ColTech,damper,30,25750,5000,21000,12500,285,350,,80,12,18,10,10,10000,OMNI,,360,1,0.7,,,700,1000,1750,540,3,50,8,752300,10,80,1000,0.3,60,25,,,,,,,,"coalition_bp, col",,,,0.5,4,6,,500.5
Onslaught Galactic,onslaught_galactic,Heavy Battlecruiser,ColTech,acausaldisruptor,30,25750,5000,21000,12500,300,350,,80,12,18,10,10,10000,OMNI,,360,1,0.7,,,700,1000,1750,540,3,50,8,752300,10,80,1000,0.3,60,25,,,,,,,,"coalition_bp, col",,,,0.5,4,6,,500.5
Signature Paragon,paragon_signature,Battleship,ColTech,fortressshield,30,20450,2250,25000,,375,200,,80,15,30,12,12,4200,OMNI,,360,0.6,0.8,,,500,800,520,520,3.75,40,9,634720,8,50,1200,0.35,60,24,,,,,,,,"coalition_bp, col",,,,0.6,4,8,,504
Monarch Paragon,paragon_monarch,Monarch's Battlecruiser,ColTech,fortressshield,35,24750,3250,25000,,750,300,,130,15,30,15,15,4700,OMNI,,360,0.6,0.8,,,750,1250,1400,750,4,60,10,1350250,10,75,1200,0.3,65,30,,,,,,,,"coalition_bp, col",,,,0.5,4,8,,504
Sabotaunt,kol_sabotaunt,Culling Cruiser,ColTech,combat_burn,32,20000,5000,13500,,420,250,1,80,20,35,12,14,4800,FRONT,,180,0.5,0.6,,,225,600,475,300,3,40,5,585200,10,50,1000,0.15,55,30,,,,,,,,"coalition_bp, col",,,,0.6,3,8,,401.5
Antiseptic,kol_antiseptic,Heavy Cruiser,ColTech,incursion_mode,15,13400,1900,13400,,300,175,,90,30,50,15,20,4000,FRONT,,200,0.7,0.8,,,400,500,400,300,2.5,35,6,345000,6,20,480,0.25,15,35,,,,,,,,"coalition_bp, col",,,,0.5,2,5,,401.5
Conquest Type-S,ind_supreme_conquest,Supreme Battlecruiser,ColTech,maneuveringjets,25,25250,2200,22500,,375,200,2,90,15,25,10,10,3850,OMNI,,360,0.85,0.75,,,325,700,520,320,5,30,8,512520,8,42,800,0.2,55,20,,,,,,,,"coalition_bp, col",,,,0.75,2,6,,500.5
Conquest Type-B,ind_sovereign_conquest,Sovereign Battlecruiser,ColTech,fragment_volley,25,20000,3500,30500,,375,180,,80,20,25,15,15,8700,OMNI,,360,0.8,0.6,,,4000,750,600,250,2.25,45,10,675240,10,55,1200,0.25,50,18,,,,,,,,"coalition_bp, col",,,,0.75,2,6,,500.5
Colossus MK.III,colossus_mkIII,Culling Cruiser,ColTech,combat_burn,32,20000,5000,13500,,220,145,1,80,20,35,12,14,4800,FRONT,,180,0.5,0.6,,,225,600,475,300,3,40,5,585200,10,50,1000,0.15,55,30,,,,,,,,"coalition_bp, col",,,,0.6,3,8,,401.5
Colossus MK.IV,colossus_mkIV,Culling Cruiser,ColTech,combat_burn,32,20000,5000,13500,,220,165,3,80,20,35,12,14,4800,FRONT,,180,0.5,0.6,,,225,600,475,300,3,40,5,585200,10,50,1000,0.15,55,30,,,,,,,,"coalition_bp, col",,,,0.5,2,6,,401.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Mk. II,eagle_ambassador,Diplomatic Cruiser,ColTech,maneuveringjets,30,18000,2500,18000,,400,225,,115,12,24,10,12,5200,OMNI,,360,0.7,0.75,,,175,425,540,220,3,55,8,500725,2,30,650,0.25,40,25,,,,,,,,"coalition_bp, col",,,,0.8,4,8,,401
