name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Warp Core [Standard],warp_core_standard,1,,Federation Tech,"special, ufp",Warp Core,50000,,,,0,0,0,4,UFP.data.hullmods.StandardWarpCore,"The baseline Federation warp core and power?generation architecture. This system replaces conventional flux behavior with a regulated energy reserve that governs weapons, ship systems, and maneuvering output. Energy is expended directly by weapons and systems, recharged through dissipation and venting cycles, and displayed through the ship�s flux interface for intuitive control. Designed for stability and predictability, the Standard Warp Core prevents overloads, smooths power recovery, and supports sustained combat operations without sudden power collapse.","Replaces flux with regulated energy management for weapons, systems, and venting.",,graphics/hullmods/warpCore.png
Warp Core [Large],large_warp_core,1,,Federation Tech,"special, ufp",Warp Core,100000,,,,0,0,8,0,UFP.data.hullmods.WarpCore_Large,"An enhanced Federation warp core designed for heavy combatants, optimized for sustained output and improved power efficiency. This core expands available energy reserves on cruiser?class hulls and reduces the energy cost of all weapon fire, allowing prolonged engagements with fewer power shortfalls. Capital?class installations prioritize containment stability over maximum output, trading peak capacity for reliable long?term performance. The Warp Core (Large) favors endurance and sustained firepower over aggressive burst tactics.",Increases energy reserves and reduces weapon energy costs on larger ships.,,graphics/hullmods/warpCore.png
Station Main Reactor,mainReactor,3,,Federation Tech,"special, ufp",Station Reactor,750900,,,,100,100,100,0,UFP.data.hullmods.StationReactor,"A high?capacity, immobile power plant designed exclusively for station?class installations. This reactor interfaces with centralized main?power control systems rather than conventional shipboard energy management, prioritizing sustained output, weapon efficiency, and containment stability. Advanced regulation allows reduced energy expenditure per shot and occasional critical surges across select weapon arrays, ensuring stations remain lethal defensive platforms over extended engagements.",Enables centralized main?power control and enhanced energy weapon performance on stations.,,graphics/hullmods/mainReactor.png
Auxiliary Power,main_power_failure,1,,,"special, ufp",Auxiliary Power,8500,,,,5,5,5,5,UFP.data.hullmods.AuxiliaryPower,"A Federation emergency power grid that supplies limited ship functionality when primary generation is unavailable or deliberately constrained. Auxiliary Power operates independently of the main warp core, maintaining a fixed fraction of total energy capacity to support minimal weapon operation and system control. While insufficient for sustained combat, this reserve prevents complete power loss and allows ships to continue operating at reduced effectiveness under extreme conditions.",Provides a fixed low?capacity energy reserve independent of the main warp core.,,graphics/hullmods/auxiliaryPower.png
,,,,,,,,,,,,,,,,,,,
Impulse Engine Mount,engine_mount,1,,Federation Tech,engines,Engines,1000,,,TRUE,0,0,0,0,UFP.data.hullmods.ImpulseEngineMounts,"Starships come with mounting points for their engines. This particular mount fits impulse engines according to their size. If there is no engine installed, the ship will only be capable of minimal flight by way of manuevering thrusters. ",Improves mobility on small ships when not firing; reduces speed on larger hulls.,,graphics/hullmods/impulseICON.png
Impulse Engines [S],impulseEngines_s,1,,Federation Tech,"engines, ufp",Engines,7500,,,,0,2,15,25,UFP.data.hullmods.ImpulseEngines_Small,"A compact impulse drive configuration optimized for frigates and light destroyers. When weapons are idle, the engines redirect available power into propulsion, providing a moderate boost to speed and acceleration for maneuvering and pursuit. Engine assemblies automatically recover from temporary disablement, improving survivability in extended skirmishes. On larger hulls, the reduced thrust capacity and power routing impose noticeable mobility penalties, making this variant unsuitable for sustained use on cruisers and capital ships. Impulse Engines (Small) favor agility and efficiency over raw thrust.",Improves mobility on small ships when not firing; reduces speed on larger hulls.,,graphics/hullmods/impulseICON.png
Impulse Engines [M],impulseEngines_m,1,,Federation Tech,"engines, ufp",Engines,12000,,,,2,0,10,15,UFP.data.hullmods.ImpulseEngines_Medium,"A balanced Federation impulse drive configuration designed to enhance maneuverability on light and mid?weight hulls. When weapons are idle, the engines redirect power into propulsion, granting increased speed and acceleration for repositioning or pursuit. Damaged engine assemblies are automatically repaired after a short downtime. On lighter hulls, sustained operation beyond safe velocity limits places stress on the frame, gradually damaging armor and hull if pushed too far. This variant offers flexible mobility with manageable risk.",Improves speed when not firing; excessive overspeed on light hulls causes damage.,,graphics/hullmods/impulseICON.png
Impulse Engines [L],impulseEngines_l,1,,Federation Tech,"engines, ufp",Engines,15800,,,,25,5,0,2,UFP.data.hullmods.ImpulseEngines_Large,"A reinforced impulse drive system optimized for cruisers and capital ships. This configuration delivers significant thrust gains during low?fire states, allowing larger vessels to reposition more effectively despite their mass. Engine subsystems self?repair under combat conditions, maintaining propulsion reliability. On smaller hulls, pushing the engines beyond structural limits results in escalating damage, encouraging disciplined use. Impulse Engines (Large) favor controlled bursts of mobility over sustained high?speed operation.",Provides powerful speed boosts on larger ships; overspeeding smaller hulls causes structural damage.,,graphics/hullmods/impulseICON.png
Impulse Engines [XL],impulseEngines_xl,1,,Federation Tech,"engines, ufp",Engines,25000,,,,30,20,5,0,UFP.data.hullmods.ImpulseEngines_HeavyDuty,"An aggressive Federation impulse engine configuration built for extreme thrust and rapid acceleration. When weapons are offline, the system delivers substantial speed increases across all hull sizes, enabling rapid disengagements or decisive repositioning. Engines automatically recover from combat damage, but the immense stresses involved can inflict direct structural damage on lighter ships if driven beyond safe thresholds. Heavy Duty engines are intended for commanders willing to trade long?term hull integrity for unmatched mobility.",Grants extreme speed boosts when not firing; severe overspeed can damage the ship.,,graphics/hullmods/impulseICON.png
,,,,,,,,,,,,,,,,,,,
#name,#id,#tier,#rarity,#tech/manufacturer,#tags,#uiTags,#base value,#unlocked,#hidden,#hiddenEverywhere,#cost_frigate,#cost_dest,#cost_cruiser,#cost_capital,#script,#desc,#short,#sModDesc,#sprite
Cargo Expansion MKI,cargo_expansion_mki,1,,,"logistics, ufp",Logistics,2750,,,,2,4,8,16,UFP.data.hullmods.CargoExpansionMKI,"Increases cargo capacity by 75%% and reduces fuel consumption by 30%%, but reduces fuel capacity by 25%%.",Expanded Cargo MKI,,graphics/hullmods/cargoHoldMKI.png
Cargo Expansion MKII,cargo_expansion_mkii,2,,,"logistics, ufp",Logistics,3000,,,,5,10,15,20,UFP.data.hullmods.CargoExpansionMKII,Increases cargo capacity by 250%% but increases fuel consumption by 50%%.,Expanded Cargo MKII,,graphics/hullmods/cargoHoldMKII.png
Cargo Expansion MKIII,cargo_expansion_mkiii,3,,,"logistics, ufp",Logistics,5000,,,,10,15,20,30,UFP.data.hullmods.CargoExpansionMKIII,"Expands cargo by 400%%, fuel by 35%%, hull by 25%%. Reduces fuel use by 60%%, crew by 90%%, armor by 60%%. Removes fighter bays.",Expanded Cargo MKIII,,graphics/hullmods/cargoHoldMKIII.png
Pristine Cargo Holds,pristine_cargo_holds,3,,Federation Tech,"logistics, ufp",Logistics,4000,,,,0,0,15,0,UFP.data.hullmods.PristineCargoHolds,Restricted to Cruisers. Increases cargo by 250%% and fuel by 75%%. Reduces max crew by 60%% and min crew by 40%%. Incompatible with other cargo mods.,Pristine Cargo Holds,,graphics/hullmods/pristineCargoHolds.png
Fuel Tank Expansion MKI,fuel_tank_expansion_mki,1,,,"logistics, ufp",Logistics,3000,,,,2,4,8,16,UFP.data.hullmods.FuelTankExpansionMKI,"Increases fuel capacity by %s but reduces cargo capacity by %s, max crew by %s, and min crew by %s.",Fuel Tank Expansion MKI,,graphics/hullmods/fuelTankMKI.png
Fuel Tank Expansion MKII,fuel_tank_expansion_mkii,2,,,"logistics, ufp",Logistics,5000,,,,5,10,15,20,UFP.data.hullmods.FuelTankExpansionMKII,"Increases fuel capacity by %s. Reduces cargo by %s, max crew by %s, min crew by %s, and armor by %s.",Fuel Tank Expansion MKII,,graphics/hullmods/fuelTankMKII.png
Fuel Tank Expansion MKIII,fuel_tank_expansion_mkiii,3,,,"logistics, ufp",Logistics,10000,,,,15,25,35,50,UFP.data.hullmods.FuelTankExpansionMKIII,"Increases fuel capacity by %s. Reduces cargo by %s, crew by %s, armor by %s, hull by %s, and supplies/mo by %s.",Fuel Tank Expansion MKIII,,graphics/hullmods/fuelTankMKIII.png
Pristine Fuel Tank Expansion,fuel_tank_pristine_expansion,3,,Federation Tech,"logistics, ufp",Logistics,8000,,,,0,0,25,0,UFP.data.hullmods.FuelTankPristineExpansion,Restricted to %s. Increases fuel by %s and cargo by %s. Reduces max crew by %s  min crew by %s  and supplies/mo by %s.,,,graphics/hullmods/pristineFuelTanks.png
Multi-Mission Bays,multi_mission_bays,3,,Federation Tech,"logistics, ufp",Logistics,12000,,,,0,0,0,40,UFP.data.hullmods.MultiMissionBays,"Restricted to %s. Increases cargo capacity by %s, fuel capacity by %s, and max crew by %s. Reduces minimum crew by %s, supplies/month by %s, and survey costs by %s (supplies & heavy machinery).",Multi-Mission Bays,,graphics/hullmods/cargoHoldMKIII.png
